isbn,title,author,weight_kg,value_cop
9788418037018,El Imperio Final,Brandon Sanderson,0.45,68000
9788498889023,El Pozo de la Ascensión,Brandon Sanderson,0.47,72000
9788498889030,El Héroe de las Eras,Brandon Sanderson,0.50,75000
9780441172719,Dune,Frank Herbert,0.60,85000
9780451524935,1984,George Orwell,0.30,45000
9781451673319,Fahrenheit 451,Ray Bradbury,0.28,40000
9780441569595,Neuromante,William Gibson,0.33,50000
9788445071416,El Hobbit,J.R.R. Tolkien,0.40,60000
9780618640157,El Señor de los Anillos,J.R.R. Tolkien,1.20,150000
9788401352836,El Nombre del Viento,Patrick Rothfuss,0.65,90000
9788401352843,La Música del Silencio,Patrick Rothfuss,0.25,35000
9780553293357,Fundación,Isaac Asimov,0.32,48000
9780553382563,Yo; Robot,Isaac Asimov,0.29,42000
9781400034956,Crónica de una Muerte Anunciada,Gabriel García Márquez,0.22,38000
9780307474728,Cien Años de Soledad,Gabriel García Márquez,0.55,80000
9780156012195,El Principito,Antoine de Saint-Exupéry,0.18,30000
9780061122415,El Alquimista,Paulo Coelho,0.20,35000
9780307887443,Ready Player One,Ernest Cline,0.38,52000
9788408172178,La Sombra del Viento,Carlos Ruiz Zafón,0.50,70000
9788415130108,Metro 2033,Dmitry Glukhovsky,0.48,56000
